Word          ,Spurious_Frequency ,Normalized_Frequency ,Is_Key_Pattern
englishman    ,                11 ,  2.239025266283714  ,True
gifted        ,                20 ,  2.2367884778059075 ,True
greedy        ,                18 ,  2.2340606869793156 ,True
polling       ,                14 ,  2.226303531816193  ,True
recession     ,                21 ,  2.2263035318161926 ,True
petty         ,                12 ,  2.220520925240047  ,True
buddy         ,                12 ,  2.220520925240047  ,True
continual     ,                12 ,  2.220520925240047  ,True
devote        ,                17 ,  2.218148573824192  ,True
persuade      ,                16 ,  2.2005162322198664 ,True
intoxicated   ,                19 ,  2.197390498935463  ,True
sofa          ,                11 ,  2.1951228100820726 ,True
durbar        ,                12 ,  2.1808687658607604 ,True
tailor        ,                12 ,  2.1808687658607604 ,True
shit          ,                16 ,  2.1711760157902678 ,True
numbered      ,                13 ,  2.168951450200319  ,True
moderates     ,                13 ,  2.168951450200319  ,True
penetration   ,                11 ,  2.152908909888186  ,True
bless         ,                16 ,  2.1426079103193434 ,True
lambs         ,                17 ,  2.1359949229418143 ,True
arnold        ,                11 ,  2.1122879870601077 ,True
ic            ,                11 ,  2.1122879870601077 ,True
strings       ,                11 ,  2.1122879870601077 ,True
silo          ,                12 ,  2.1056663946241825 ,True
estimation    ,                19 ,  2.101851781590443  ,True
eleanor       ,                13 ,  2.1000958486066583 ,True
sarah         ,                13 ,  2.1000958486066583 ,True
malays        ,                20 ,  2.0984304276323464 ,True
kaiser        ,                11 ,  2.073171542855291  ,True
populist      ,                12 ,  2.0699771336983486 ,True
conquer       ,                13 ,  2.067281850972179  ,True
solemn        ,                14 ,  2.064977188930962  ,True
shelf         ,                15 ,  2.0629839677061246 ,True
andy          ,                17 ,  2.0597093899796066 ,True
relying       ,                19 ,  2.0571315309183063 ,True
episodes      ,                22 ,  2.054151620443774  ,True
ironic        ,                22 ,  2.054151620443774  ,True
mistaken      ,                24 ,  2.052582367868951  ,True
rebuilding    ,                14 ,  2.0354775148033766 ,True
streamlined   ,                12 ,  2.0354775148033766 ,True
psychologists ,                12 ,  2.0354775148033766 ,True
compost       ,                12 ,  2.0354775148033766 ,True
percentages   ,                15 ,  2.035477514803376  ,True
sweater       ,                13 ,  2.035477514803376  ,True
waiter        ,                11 ,  2.035477514803376  ,True
bowls         ,                15 ,  2.035477514803376  ,True
orrery        ,                18 ,  2.035477514803376  ,True
incumbent     ,                23 ,  2.035477514803376  ,True
trivial       ,                13 ,  2.035477514803376  ,True
laptop        ,                13 ,  2.035477514803376  ,True
mileage       ,                18 ,  2.035477514803376  ,True
flu           ,                13 ,  2.035477514803376  ,True
retailers     ,                16 ,  2.035477514803376  ,True
mineral       ,                20 ,  2.0153242720825504 ,True
embracing     ,                15 ,  2.0086949159243845 ,True
genes         ,                14 ,  2.0068088174117795 ,True
hesitate      ,                13 ,  2.0046369463972646 ,True
penis         ,                13 ,  2.0046369463972646 ,True
kobe          ,                13 ,  2.0046369463972646 ,True
kitty         ,                12 ,  2.0021090309541405 ,True
